"　　毎月勤労統計調査　産業別時系列表（賃金・労働時間・雇用指数、労働異動率及び対前年比（差））　　和歌山県","","","","","","","","","","","","","","","平成22年＝100",""
"入職率（前年差）","P医療，福祉","３０人以上","2012.0","0.29","0.3","-0.3","0.16","-0.43","-0.5","-0.14","0.41","0.22","1.22","0.81","1.02","0.67"
"入職率","Q複合サービス事業","３０人以上","2006.0","2.18","0.64","0.37","1.01","4.81","0.89","1.56","2.81","1.4","1.03","10.79","0.47","0.42"
"入職率","Q複合サービス事業","３０人以上","2007.0","4.63","0.83","6.87","2.22","3.62","32.14","1.08","3.03","0.94","2.3","0.86","1.49","0.12"
"入職率","Q複合サービス事業","３０人以上","2008.0","2.73","0.58","3.05","0.59","2.99","1.02","1.05","1.25","0.24","1.26","0.24","0.71","19.74"
"入職率","Q複合サービス事業","３０人以上","2009.0","1.27","0.0","0.0","0.92","8.47","1.82","0.0","0.0","1.8","0.0","0.88","0.0","1.33"
"入職率","Q複合サービス事業","３０人以上","2010.0","0.83","0.0","0.89","1.77","3.58","0.0","0.0","0.0","0.0","0.94","0.93","0.0","1.87"
"入職率","Q複合サービス事業","３０人以上","2011.0","1.17","0.96","0.0","3.89","5.99","0.0","0.0","0.0","0.0","2.16","0.0","0.0","1.07"
"入職率","Q複合サービス事業","３０人以上","2012.0","1.69","0.0","0.0","0.0","12.68","0.81","1.34","1.33","0.0","0.0","4.11","0.0","0.0"
"入職率（前年差）","Q複合サービス事業","３０人以上","2007.0","2.45","0.19","6.5","1.21","-1.19","31.25","-0.48","0.22","-0.46","1.27","-9.93","1.02","-0.3"
"入職率（前年差）","Q複合サービス事業","３０人以上","2008.0","-1.9","-0.25","-3.82","-1.63","-0.63","-31.12","-0.03","-1.78","-0.7","-1.04","-0.62","-0.78","19.62"
"入職率（前年差）","Q複合サービス事業","３０人以上","2009.0","-1.46","-0.58","-3.05","0.33","5.48","0.8","-1.05","-1.25","1.56","-1.26","0.64","-0.71","-18.41"
"入職率（前年差）","Q複合サービス事業","３０人以上","2010.0","-0.44","0.0","0.89","0.85","-4.89","-1.82","0.0","0.0","-1.8","0.94","0.05","0.0","0.54"
"入職率（前年差）","Q複合サービス事業","３０人以上","2011.0","0.34","0.96","-0.89","2.12","2.41","0.0","0.0","0.0","0.0","1.22","-0.93","0.0","-0.8"
"入職率（前年差）","Q複合サービス事業","３０人以上","2012.0","0.52","-0.96","0.0","-3.89","6.69","0.81","1.34","1.33","0.0","-2.16","4.11","0.0","-1.07"
"入職率","Rサービス業（他に分類されないもの）","３０人以上","2010.0","2.5","3.69","3.84","2.01","7.23","2.16","1.29","1.47","1.98","2.91","2.71","0.13","0.54"
"入職率","Rサービス業（他に分類されないもの）","３０人以上","2011.0","1.84","0.99","1.84","1.05","7.09","0.96","0.99","2.03","2.2","1.27","0.82","1.98","0.9"
"入職率","Rサービス業（他に分類されないもの）","３０人以上","2012.0","2.95","1.95","4.28","2.49","5.79","3.56","2.65","3.18","1.83","2.9","2.29","2.01","2.46"
"入職率（前年差）","Rサービス業（他に分類されないもの）","３０人以上","2010.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"入職率（前年差）","Rサービス業（他に分類されないもの）","３０人以上","2011.0","-0.66","-2.7","-2.0","-0.96","-0.14","-1.2","-0.3","0.56","0.22","-1.64","-1.89","1.85","0.36"
"入職率（前年差）","Rサービス業（他に分類されないもの）","３０人以上","2012.0","1.11","0.96","2.44","1.44","-1.3","2.6","1.66","1.15","-0.37","1.63","1.47","0.03","1.56"
